league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Market_value_eur
ENG-Premier League,2122,Norwich City,Lukas Rupp,GER,MF,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"9781    800000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Norwich City,Przemysław Płacheta,POL,"MF,FW",23,1998,12,6,504,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"12559    2000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Norwich City,Sam Byram,ENG,DF,27,1993,15,11,1027,11.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,"13486    2000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Norwich City,Tim Krul,NED,GK,33,1988,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"14767    2000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Adam Armstrong,ENG,FW,24,1997,23,17,1413,15.7,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,"126    16000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Alex McCarthy,ENG,GK,31,1989,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"512    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Armando Broja,ALB,FW,19,2001,32,21,1975,21.9,6,0,6,6,0,0,2,0,0.27,0.0,0.27,0.27,0.27,"1154    30000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Fraser Forster,ENG,GK,33,1988,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"4974    2000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Ibrahima Diallo,FRA,MF,22,1999,23,10,1023,11.4,0,2,2,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,"6063    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Jack Stephens,ENG,DF,27,1994,11,9,811,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,"6398    7000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,James Ward-Prowse,ENG,MF,26,1994,36,36,3215,35.7,10,5,15,6,4,4,3,1,0.28,0.14,0.42,0.17,0.31,"6872    35000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Jan Bednarek,POL,DF,25,1996,31,30,2629,29.2,4,0,4,4,0,0,10,0,0.14,0.0,0.14,0.14,0.14,"6946    5000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Kyle Walker-Peters,ENG,DF,24,1997,32,29,2633,29.3,1,2,3,1,0,0,5,0,0.03,0.07,0.1,0.03,0.1,"9114    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Mohamed Elyounoussi,NOR,MF,26,1994,30,23,2042,22.7,4,2,6,4,0,0,4,0,0.18,0.09,0.26,0.18,0.26,"11367    500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Nathan Redmond,ENG,"MF,FW",27,1994,27,20,1833,20.4,1,5,6,1,0,0,0,0,0.05,0.25,0.29,0.05,0.29,"11610    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Shane Long,IRL,FW,34,1987,13,3,308,3.4,1,0,1,1,0,0,1,0,0.29,0.0,0.29,0.29,0.29,"13948    800000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Theo Walcott,ENG,MF,32,1989,9,5,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"14646    1800000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Tino Livramento,ENG,DF,18,2002,28,25,2202,24.5,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,"14800    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Southampton,Willy Caballero,ARG,GK,39,1981,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"15740    250000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Ben Davies,WAL,DF,28,1993,29,28,2538,28.2,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,"1411    20000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Cristian Romero,ARG,DF,23,1998,22,21,1844,20.5,1,0,1,1,0,0,8,0,0.05,0.0,0.05,0.05,0.05,"3055    60000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Dejan Kulusevski,SWE,"MF,FW",21,2000,18,14,1261,14.0,5,8,13,5,0,0,3,0,0.36,0.57,0.93,0.36,0.93,"3884    50000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Emerson,BRA,"MF,DF",22,1999,31,26,2286,25.4,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,"4207    45000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Harry Winks,ENG,MF,25,1996,19,9,912,10.1,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,"5862    15000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Japhet Tanganga,ENG,"DF,MF",22,1999,11,10,735,8.2,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,"6977    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Joe Rodon,WAL,DF,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"7534    9000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Matt Doherty,IRL,MF,29,1992,15,9,875,9.7,2,4,6,2,0,0,0,0,0.21,0.41,0.62,0.21,0.62,"10687    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Oliver Skipp,ENG,MF,20,2000,18,14,1350,15.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,"11991    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Rodrigo Bentancur,URU,MF,24,1997,17,16,1361,15.1,0,4,4,0,0,0,5,0,0.0,0.26,0.26,0.0,0.26,"13046    40000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Tottenham,Ryan Sessegnon,ENG,MF,21,2000,15,13,1047,11.6,0,2,2,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,"13365    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Ashley Fletcher,ENG,FW,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"1218    1200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Ben Foster,ENG,GK,38,1983,26,26,2340,26.0,0,1,1,0,0,0,0,0,0.0,0.04,0.04,0.0,0.04,"1433    300000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Craig Cathcart,NIR,DF,32,1989,31,27,2396,26.6,0,1,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,"2996    1200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Dan Gosling,ENG,MF,31,1990,4,2,166,1.8,1,0,1,1,0,0,0,0,0.54,0.0,0.54,0.54,0.54,"3233    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Daniel Bachmann,AUT,GK,27,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"3286    2500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Danny Rose,ENG,DF,31,1990,8,7,689,7.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,"3471    2200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Edo Kayembe,COD,MF,23,1998,13,9,799,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"4216    5000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Ismaila Sarr,SEN,"MF,FW",23,1998,22,21,1861,20.7,5,2,7,5,0,1,2,0,0.24,0.1,0.34,0.24,0.34,"6191    27000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Jeremy Ngakia,,DF,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"7281    3500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,João Pedro,BRA,"FW,MF",19,2001,28,15,1644,18.3,3,1,4,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,"8370    20000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Juraj Kucka,SVK,MF,34,1987,26,22,1920,21.3,1,1,2,1,0,0,5,1,0.05,0.05,0.09,0.05,0.09,"8481    1800000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Samuel Kalu,NGA,FW,23,1997,4,2,222,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"13628    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Tom Cleverley,ENG,MF,31,1989,28,20,1616,18.0,0,2,2,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,"14879    1800000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Watford,Troy Deeney,ENG,FW,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"15163    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Aaron Cresswell,ENG,DF,31,1989,31,31,2726,30.3,2,3,5,2,0,0,3,0,0.07,0.1,0.17,0.07,0.17,"17    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Alex Král,CZE,MF,23,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"481    150000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Alphonse Areola,FRA,GK,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"748    9000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Andriy Yarmolenko,UKR,MF,31,1989,19,1,316,3.5,1,0,1,1,0,0,1,0,0.28,0.0,0.28,0.28,0.28,"908    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Angelo Ogbonna,ITA,DF,33,1988,11,11,921,10.2,1,0,1,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,"1004    1200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Arthur Masuaku,COD,"MF,DF",27,1993,13,6,650,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,"1168    5500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Ben Johnson,ENG,"DF,MF",21,2000,20,16,1397,15.5,1,0,1,1,0,0,1,0,0.06,0.0,0.06,0.06,0.06,"1475    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Craig Dawson,ENG,DF,31,1990,34,30,2754,30.6,2,2,4,2,0,0,5,1,0.07,0.07,0.13,0.07,0.13,"3010    3000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Declan Rice,ENG,MF,22,1999,36,35,3179,35.3,1,4,5,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,"3864    80000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Harrison Ashby,SCO,"DF,MF",19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"5760    300000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Issa Diop,MAR,DF,24,1997,13,10,963,10.7,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,"6203    15000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Jarrod Bowen,ENG,MF,24,1996,36,34,2983,33.1,12,10,22,12,0,0,6,0,0.36,0.3,0.66,0.36,0.66,"6992    42000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Mark Noble,ENG,MF,34,1987,11,3,332,3.7,1,0,1,0,1,2,0,0,0.27,0.0,0.27,0.0,0.0,"10367    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Pablo Fornals,ESP,MF,25,1996,36,32,2795,31.1,6,3,9,6,0,0,4,0,0.19,0.1,0.29,0.19,0.29,"12102    300000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Ryan Fredericks,ENG,DF,28,1992,7,3,307,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"13290    2000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Sonny Perkins,ENG,"FW,MF",17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"14148    1200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Tomáš Souček,CZE,MF,26,1995,35,34,3062,34.0,5,1,6,5,0,0,3,0,0.15,0.03,0.18,0.15,0.18,"15095    45000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,West Ham,Łukasz Fabiański,POL,GK,36,1985,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,"9809    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Adama Traoré,ESP,"FW,MF",25,1996,20,10,1067,11.9,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,"298    20000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Chem Campbell,WAL,"FW,MF",18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"2486    500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Conor Coady,ENG,DF,28,1993,38,38,3361,37.3,4,0,4,4,0,0,4,0,0.11,0.0,0.11,0.11,0.11,"2900    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Fábio Silva,POR,FW,19,2002,22,6,572,6.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"15547    750000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Hwang Hee-chan,KOR,"FW,MF",25,1996,30,20,1816,20.2,5,1,6,5,0,0,2,0,0.25,0.05,0.3,0.25,0.3,"5917    16000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,John Ruddy,ENG,GK,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"7768    300000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,José Sá,POR,GK,28,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,"8328    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Ki-Jana Hoever,NED,MF,19,2002,8,4,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"8868    6000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Luke Cundle,ENG,MF,19,2002,4,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"9839    1000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Max Kilman,ENG,DF,24,1997,30,30,2687,29.9,1,0,1,1,0,0,3,0,0.03,0.0,0.03,0.03,0.03,"10975    20000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Morgan Gibbs-White,ENG,"FW,MF",21,2000,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"11414    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Pedro Neto,POR,"FW,MF",21,2000,13,5,466,5.2,1,1,2,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,"12336    38000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Rayan Aït-Nouri,ALG,MF,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,"12626    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Raúl Jiménez,MEX,FW,30,1991,34,30,2631,29.2,6,4,10,5,1,1,9,2,0.21,0.14,0.34,0.17,0.31,"12652    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Toti Gomes,POR,DF,22,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"15125    2500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Wolves,Willy Boly,CIV,DF,30,1991,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"15719    6000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"62    40000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"430    250000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Ben White,ENG,DF,24,1997,38,36,3055,33.9,2,5,7,2,0,0,5,0,0.06,0.15,0.21,0.06,0.21,"1558    55000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Bukayo Saka,ENG,"FW,MF",20,2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,0.4,0.31,0.71,0.34,0.65,"2050    120000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Eddie Nketiah,ENG,FW,23,1999,30,9,1089,12.1,4,1,5,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,"4194    35000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Emile Smith Rowe,ENG,MF,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.0,1.05,1.05,0.0,1.05,"4405    35000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Ethan Nwaneri,ENG,MF,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"4603    250000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Gabriel Jesus,BRA,FW,25,1997,26,24,2064,22.9,11,6,17,10,1,1,6,0,0.48,0.26,0.74,0.44,0.7,"5082    75000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,38,38,3409,37.9,3,0,3,3,0,0,5,0,0.08,0.0,0.08,0.08,0.08,"5047    60000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Gabriel Martinelli,BRA,"FW,MF",21,2001,36,34,2789,31.0,15,5,20,15,0,0,3,0,0.48,0.16,0.65,0.48,0.65,"5090    85000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Granit Xhaka,SUI,MF,29,1992,37,36,2993,33.3,7,7,14,7,0,0,4,0,0.21,0.21,0.42,0.21,0.42,"5612    20000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Jakub Kiwior,POL,DF,22,2000,7,5,427,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,"6551    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Leandro Trossard,BEL,FW,27,1994,20,10,931,10.3,1,10,11,1,0,0,0,0,0.1,0.97,1.06,0.1,1.06,"9168    38000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Martin Ødegaard,NOR,MF,23,1998,37,37,3127,34.7,15,7,22,15,0,0,4,0,0.43,0.2,0.63,0.43,0.63,"10530    90000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Oleksandr Zinchenko,UKR,DF,25,1996,27,26,2118,23.5,1,2,3,1,0,0,3,0,0.04,0.08,0.13,0.04,0.13,"909    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Reiss Nelson,ENG,"FW,MF",22,1999,11,0,212,2.4,3,2,5,3,0,0,0,0,1.27,0.85,2.12,1.27,2.12,"12710    15000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,Thomas Partey,GHA,MF,29,1993,33,28,2483,27.6,3,0,3,3,0,0,5,0,0.11,0.0,0.11,0.11,0.11,"14670    200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Arsenal,William Saliba,FRA,DF,21,2001,27,27,2415,26.8,2,1,3,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,"15704    75000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Ashley Young,ENG,DF,37,1985,29,23,2036,22.6,1,0,1,1,0,0,7,0,0.04,0.0,0.04,0.04,0.04,"1255    600000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Bertrand Traoré,BFA,MF,26,1995,8,1,233,2.6,2,0,2,2,0,0,1,0,0.77,0.0,0.77,0.77,0.77,"1679    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Boubacar Kamara,FRA,MF,22,1999,24,21,1777,19.7,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,"1819    38000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Calum Chambers,ENG,DF,27,1995,14,2,353,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,"2180    8000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Cameron Archer,ENG,"FW,MF",21,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"2198    18000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Danny Ings,ENG,FW,30,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,0.66,0.0,0.66,0.44,0.44,"3442    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Douglas Luiz,BRA,MF,24,1998,37,33,2927,32.5,6,6,12,6,0,0,6,1,0.18,0.18,0.37,0.18,0.37,"4131    60000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Emi Buendía,ARG,"MF,FW",25,1996,38,27,2412,26.8,5,2,7,5,0,0,0,0,0.19,0.07,0.26,0.19,0.26,"4417    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Emiliano Martínez,ARG,GK,29,1992,36,36,3139,34.9,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,"4443    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Ezri Konsa,ENG,DF,24,1997,38,37,3322,36.9,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,"4677    35000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Jacob Ramsey,ENG,MF,21,2001,35,31,2636,29.3,6,7,13,6,0,0,5,0,0.2,0.24,0.44,0.2,0.44,"6458    42000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Jan Bednarek,POL,DF,26,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"6947    15000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,John McGinn,SCO,MF,27,1994,34,30,2693,29.9,1,3,4,1,0,0,7,0,0.03,0.1,0.13,0.03,0.13,"7733    30000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Lucas Digne,FRA,DF,29,1993,28,18,1502,16.7,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,"9700    17000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Matty Cash,POL,DF,24,1997,26,20,1820,20.2,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,"10861    28000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Ollie Watkins,ENG,FW,26,1995,37,36,3127,34.7,15,6,21,14,1,2,4,0,0.43,0.17,0.6,0.4,0.58,"12017    60000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Aston Villa,Tyrone Mings,ENG,DF,29,1993,35,35,3150,35.0,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,"15239    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Adam Smith,ENG,DF,31,1991,37,34,2943,32.7,0,1,1,0,0,0,11,0,0.0,0.03,0.03,0.0,0.03,"255    1200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Antoine Semenyo,GHA,"MF,FW",22,2000,11,2,258,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,"1075    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Ben Pearson,ENG,MF,27,1995,7,3,286,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"1517    2200000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Chris Mepham,WAL,DF,24,1997,26,24,2199,24.4,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,"2620    8000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Dango Ouattara,BFA,MF,20,2002,19,15,1241,13.8,1,3,4,1,0,0,1,0,0.07,0.22,0.29,0.07,0.29,"3257    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,David Brooks,WAL,MF,25,1997,6,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"3631    12000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Dominic Solanke,ENG,FW,24,1997,33,32,2860,31.8,6,7,13,6,0,0,2,0,0.19,0.22,0.41,0.19,0.41,"4106    25000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Emiliano Marcondes,DEN,"FW,MF",27,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"4432    1500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2223,Bournemouth,Hamed Junior Traorè,CIV,MF,22,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"299    12000000
Name: Market_value_eur, dtype: int64"
