league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Market_value_eur
ENG-Premier League,2122,Newcastle,Freddie Woodman,ENG,GK,24,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"5029    9000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Isaac Hayden,JAM,"MF,DF",26,1995,14,12,1002,11.1,1,0,1,1,0,0,5,0,0.09,0.0,0.09,0.09,0.09,"6169    8000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Jacob Murphy,ENG,"FW,MF",26,1995,33,13,1473,16.4,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,"6450    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Jamaal Lascelles,ENG,DF,27,1993,26,22,2058,22.9,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,"6570    10000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Jamal Lewis,NIR,DF,23,1998,5,4,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"8683    17000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Jeff Hendrick,IRL,MF,29,1992,3,0,72,0.8,1,0,1,1,0,0,0,0,1.25,0.0,1.25,1.25,1.25,"7229    5000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Joe Willock,ENG,MF,21,1999,29,24,2038,22.6,2,0,2,2,0,0,0,0,0.09,0.0,0.09,0.09,0.09,"7559    30000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Joelinton,BRA,"MF,FW",24,1996,35,30,2558,28.4,4,1,5,4,0,0,8,0,0.14,0.04,0.18,0.14,0.18,"7641    32000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Karl Darlow,WAL,GK,30,1990,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"8623    2500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Kieran Trippier,ENG,DF,30,1990,6,5,429,4.8,2,0,2,2,0,0,0,0,0.42,0.0,0.42,0.42,0.42,"8912    15000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Martin Dúbravka,SVK,GK,32,1989,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"10501    4000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Matt Ritchie,SCO,"DF,MF",31,1989,18,14,1337,14.9,0,2,2,0,0,0,5,0,0.0,0.13,0.13,0.0,0.13,"10744    1800000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Matt Targett,ENG,DF,25,1995,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"10756    17000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Paul Dummett,WAL,DF,29,1991,3,2,198,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,"12242    1500000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Ryan Fraser,SCO,"FW,MF",27,1994,27,18,1465,16.3,2,3,5,2,0,0,3,0,0.12,0.18,0.31,0.12,0.31,"13356    50000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Newcastle,Sean Longstaff,ENG,MF,23,1997,24,15,1464,16.3,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,"13770    22000000
Name: Market_value_eur, dtype: int64"
ENG-Premier League,2122,Norwich City,Adam Idah,IRL,"FW,MF",20,2001,17,6,625,6.9,1,1,2,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,"126    16000000
Name: Market_value_eur, dtype: int64"
